1. ado2gh/agents/migration_agent/constants.py:8 | rule 2 | Runtime limits and timeouts at lines 8 through 27 are fixed module values with no override. | Add AgentRuntimeSettings under AdvancedSettings in ado2gh/api/settings_models.py and load those fields into the agent runtime.

2. ado2gh/agents/migration_agent/constants.py:18 | rule 3 | The comment uses acronyms and task identifiers. | Rewrite it as a durable plain-language description; no new setting is needed.

3. ado2gh/agents/migration_agent/graph/builder.py:73 | rule 1 | Checkpointer close and cleanup timeouts are raw values at lines 73 and 489. | Add checkpointer_close_timeout_seconds and checkpointer_cleanup_timeout_seconds to AgentRuntimeSettings in ado2gh/api/settings_models.py.

4. ado2gh/agents/migration_agent/graph/builder.py:120 | rule 1 | Database host, port, names, and checkpoint path are embedded in the connection setup. | Add CheckpointStorageSettings to ado2gh/state/storage_config.py.

5. ado2gh/agents/migration_agent/graph/builder.py:182 | rule 1 | Retry count, interval, and backoff values are inline. | Add llm_retry_max_attempts, llm_retry_initial_interval_seconds, and llm_retry_backoff_factor to AgentRuntimeSettings in ado2gh/api/settings_models.py.

6. ado2gh/agents/migration_agent/graph/builder.py:111 | rule 2 | The builder independently parses storage environment values instead of using the storage configuration path. | Route checkpoint configuration through CheckpointStorageSettings in ado2gh/state/storage_config.py.

7. ado2gh/agents/migration_agent/graph/builder.py:368 | rule 3 | The comment depends on a task identifier instead of explaining the invariant. | Rewrite it as a stable approval-revision rule; no new setting is needed.

8. ado2gh/agents/migration_agent/guardrails.py:26 | rule 3 | The comment uses a ticket-style identifier as justification. | Replace it with the guardrail behavior it protects; no new setting is needed.

9. ado2gh/agents/migration_agent/hitl/form_fields.py:67 | rule 1 | Field, option, description, and suggestion limits are repeated inline through line 318. | Add FormFieldLimits constants in ado2gh/agents/migration_agent/hitl/form_fields.py.

10. ado2gh/agents/migration_agent/hitl/form_fields.py:18 | rule 3 | The comment contains a task identifier and abbreviations. | Rewrite it as a plain statement of the optional-field rule; no new setting is needed.

11. ado2gh/agents/migration_agent/hitl/forms.py:27 | rule 1 | Form identifier, field-name, description, and placeholder limits are inline, including line 51. | Reuse FormFieldLimits from ado2gh/agents/migration_agent/hitl/form_fields.py.

12. ado2gh/agents/migration_agent/hitl/forms.py:102 | rule 3 | The docstring explains behavior through a task identifier. | State the server-side required-field behavior directly; no new setting is needed.

13. ado2gh/agents/migration_agent/hitl/intake.py:161 | rule 1 | Repository matching thresholds are unexplained inline values. | Add repository_match_full_name_cutoff and repository_match_basename_cutoff constants in ado2gh/agents/migration_agent/hitl/intake.py.

14. ado2gh/agents/migration_agent/hitl/intake.py:18 | rule 3 | The comment relies on a task identifier. | Replace it with the approval-revision invariant; no new setting is needed.

15. ado2gh/agents/migration_agent/hitl/operator_input.py:23 | rule 1 | Identifier, digest, blocker, and context length limits are embedded inline. | Add OperatorInputLimits constants in ado2gh/agents/migration_agent/hitl/operator_input.py.

16. ado2gh/agents/migration_agent/hitl/operator_input.py:135 | rule 1 | The not-found status is checked as the raw string 404. | Use HTTPStatus.NOT_FOUND from the standard library.

17. ado2gh/agents/migration_agent/hitl/operator_input.py:427 | rule 1 | Failure-code protocol values are written directly in the dispatch logic. | Add MigrationFailureCode in ado2gh/api/errors.py.

18. ado2gh/agents/migration_agent/hitl/operator_input.py:419 | rule 3 | The docstring is centered on the FR-036 ticket label. | Describe the active-migration conflict without ticket identifiers; no new setting is needed.

19. ado2gh/agents/migration_agent/runtime/llm_bridge.py:16 | rule 2 | A second LLM timeout constant duplicates the agent runtime setting and has no override. | Remove it and use AgentRuntimeSettings.llm_timeout_seconds from ado2gh/api/settings_models.py.

20. ado2gh/agents/migration_agent/runtime/llm_bridge.py:37 | rule 2 | Provider capability defaults are a second provider registry beside LLMProviderSpec. | Add a capabilities field to LLMProviderSpec in ado2gh/api/llm/llm_provider_registry.py and remove the parallel map.

21. ado2gh/agents/migration_agent/runtime/llm_bridge.py:154 | rule 1 | OpenAI and local runtime URLs are literal fallbacks outside the provider registry. | Add default_base_url entries to LLMProviderSpec in ado2gh/api/llm/llm_provider_registry.py.

22. ado2gh/agents/migration_agent/nodes/intent.py:37 | rule 1 | Session and intent protocol values are raw strings. | Use SessionState from ado2gh/agents/migration_agent/session/state.py and OperatorIntent from hitl/schemas.py.

23. ado2gh/agents/migration_agent/nodes/intent.py:81 | rule 3 | The comment names a specific caller and a task identifier. | Describe the untrusted-input boundary without naming the current caller; no new setting is needed.

24. ado2gh/agents/migration_agent/nodes/orchestrator.py:102 | rule 1 | Session statuses are typed as strings despite the existing SessionState enum. | Use SessionState values from ado2gh/agents/migration_agent/session/state.py.

25. ado2gh/agents/migration_agent/nodes/orchestrator.py:448 | rule 1 | The context token budget is repeated as the raw value 32000. | Use AgentRuntimeSettings.context_token_budget from ado2gh/api/settings_models.py.

26. ado2gh/agents/migration_agent/nodes/orchestrator.py:481 | rule 1 | Event kind and agent role protocol values are repeated as strings. | Add AgentEventKind and AgentRole string enums in ado2gh/agents/migration_agent/graph/state.py.

27. ado2gh/agents/migration_agent/nodes/orchestrator.py:445 | rule 3 | The comment uses a task-style label and describes an implementation-specific dependency. | State the context-trimming rule without the identifier or dependency detail; no new setting is needed.

28. ado2gh/agents/migration_agent/nodes/orchestrator_tools.py:101 | rule 3 | The comments use task identifiers and describe the current tool caller. | State the guardrail rule independently of the current dispatcher; no new setting is needed.

29. ado2gh/agents/migration_agent/nodes/planner.py:533 | rule 1 | Prompt samples and serialized context are clipped with raw values. | Add planner_repository_sample_limit and planner_context_max_chars to AgentRuntimeSettings in ado2gh/api/settings_models.py.

30. ado2gh/agents/migration_agent/nodes/validator.py:487 | rule 1 | The iteration ceiling is written as 20 despite the existing MAX_ITERATIONS constant. | Use MAX_ITERATIONS from ado2gh/agents/migration_agent/constants.py.

31. ado2gh/agents/migration_agent/nodes/validator.py:503 | rule 1 | Sender, receiver, and message-type protocol values are raw strings. | Use AgentRole and AgentMessageType enums in ado2gh/agents/migration_agent/graph/state.py.

32. ado2gh/agents/migration_agent/runtime/context_window.py:28 | rule 1 | Cycle retention and summary clipping limits are raw values. | Add context_cycle_retention_count, old_cycle_summary_max_chars, and recent_cycle_summary_max_chars to AgentRuntimeSettings in ado2gh/api/settings_models.py.

33. ado2gh/agents/migration_agent/session/store.py:29 | rule 3 | The storage comment cites task identifiers rather than documenting the durable masking rule plainly. | Rewrite it as a durable masking requirement; no new setting is needed.

34. ado2gh/agents/migration_agent/tools/orchestrator_tools.py:51 | rule 1 | GET is a raw default even though DEFAULT_HTTP_METHOD already exists. | Import DEFAULT_HTTP_METHOD from ado2gh/agents/migration_agent/constants.py.

35. ado2gh/agents/migration_agent/tools/orchestrator_tools.py:208 | rule 2 | Tool names are registered here and dispatched separately in nodes/orchestrator_tools.py. | Add ORCHESTRATOR_TOOL_REGISTRY in ado2gh/agents/migration_agent/tools/orchestrator_tools.py and have both construction and dispatch use it.

36. ado2gh/api/llm/model_catalog.py:68 | rule 1 | Cache-key length, provider page size, and wait slack are raw values. | Add CATALOG_API_KEY_PREFIX_CHARS, ANTHROPIC_CATALOG_PAGE_SIZE, and CATALOG_SINGLE_FLIGHT_SLACK_SECONDS in this module.

37. ado2gh/api/llm/model_catalog.py:77 | rule 1 | Provider catalog URLs duplicate values already stored in LLMProviderSpec. | Use get_provider_spec(provider).catalog_path from ado2gh/api/llm/llm_provider_registry.py.

38. ado2gh/api/llm/model_catalog.py:338 | rule 2 | Catalog dispatch is a second provider registry that must change for every provider addition. | Add a catalog_fetcher field to LLMProviderSpec in ado2gh/api/llm/llm_provider_registry.py.

39. ado2gh/api/llm/http_llm.py:11 | rule 2 | The language-model request timeout is a module constant with no settings override. | Add request_timeout_seconds to ConnectivityProfile in ado2gh/api/connectivity_store.py.

40. ado2gh/api/live_approval_store.py:614 | rule 1 | Live-execution audit event names are hand-written protocol strings. | Add AuditEventName in ado2gh/audit/writer.py and use its values.

41. ado2gh/api/live_approval_store.py:647 | rule 1 | The agent URL and notification timeout are hardcoded deployment values. | Add ADO2GH_AGENT_NOTIFICATION_URL and ADO2GH_AGENT_NOTIFICATION_TIMEOUT_SECONDS settings in ado2gh/api/live_approval_store.py.

42. ado2gh/api/live_approval_store.py:637 | rule 3 | The comment describes a specific internal route and uses task-style security labels. | Describe the notification failure behavior without route-specific history; no new setting is needed.

43. ado2gh/api/credentials/credential_validation.py:22 | rule 1 | GitHub URLs, headers, API version, and timeouts are repeated outside the GitHub client. | Add GitHubClientSettings in ado2gh/clients/gh_client.py and reuse it here.

44. services/agent/routes/_helpers.py:71 | rule 2 | ACCELERATOR_URL is parsed here as well as in the local profile loader, bypassing LocalAgentProfile. | Use the existing LocalAgentProfile.accelerator_url from services/agent/profiles.py.

